Knowledge,Enthusiasm,Organization,Preparedness,Ability to Explain Difficult Concepts,Speaking Ability,Approachability,Encourages Discussion,Effectiveness of Examples,Numerical Weight not for modeling,Rating
4.71,4.85,4.57,4.57,4.57,4.57,4.85,4.85,4.57,4.68030303,Excellent
4.18,4.3,4.36,4.27,3.9,4.22,4.18,4,4.27,4.174848485,Average
4.4,4.65,4.1,4.2,3.85,4.3,4.25,4.2,3.75,4.177272727,Average
5,5,4.92,4.78,4.43,5,5,4.71,4.85,4.841818182,Excellent
4.18,4.8,4.9,4.6,4.6,4.8,4.8,4.4,4.6,4.624848485,Excellent
4.722222222,4.72,4.72,4.5,4.55,4.38,4.5,4.22,4.67,4.565420875,Above Average
4.6,4.2,3.8,4,4.1,4.1,4.5,4.3,3.9,4.178787879,Average
5,4.94,4.84,4.78,4.78,4.84,4.84,4.89,4.84,4.861515152,Excellent
4.2,3.8,3.9,4.1,4,4,3.5,3.33,4,3.878484848,Average
4,5,4.67,4.67,4.67,5,5,5,5,4.768787879,Excellent
3.25,4.25,3.5,3.25,3,3.75,4.5,4,3.67,3.672121212,Below Average
3.585,3.261,3.344,3.55,3.604,3.568,3.662,3.308,3.584,3.506,Unsatisfactory
4.36112184,3.82554107,4.130673811,4.016486687,4.106043452,4.517657157,4.459387015,4.039293436,3.53584655,4.102125346,Average
4.052089725,3.466383518,3.777144234,4.6103013,4.420227735,4.42843525,3.74964954,4.287391671,4.260235093,4.106799623,Average
4.381487872,4.032122201,4.375247343,3.814363506,4.482267225,4.493056612,3.847918874,4.142246651,4.349459657,4.222122208,Above Average
4.097978033,4.170134279,4.007495816,4.273135094,4.136594482,4.146583328,3.790417043,3.896407497,4.144365096,4.074709558,Average
4.116658658,3.731669797,4.174523193,3.90390103,4.241414537,3.942705282,4.321958754,3.807751339,4.1607998,4.061153432,Average
3.95546349,4.446672878,3.339059768,3.900519145,4.151459321,4.52956397,4.107068373,3.53258685,3.528135664,3.963995376,Average
3.450228687,4.176746793,4.910788368,3.093710594,4.102860772,3.424290737,3.475248525,4.439898411,4.538018272,3.960040524,Average
4.708948278,3.418797844,3.959406318,3.868970317,4.068682498,3.362039436,3.394451215,3.473400237,2.971555053,3.706359726,Average
3.03434788,4.010827358,4.375047347,4.301021382,3.092753997,4.60760669,3.441241294,3.022822996,2.772787798,3.55818432,Unsatisfactory
4.674585149,4.629914514,4.783408435,3.532524619,3.767834071,3.726522629,4.160637043,2.892329671,3.339181751,3.965478795,Average
3.953295283,4.182886313,3.47692792,3.816948487,3.246077524,3.615541834,3.809839067,3.551423406,3.778223656,3.712420904,Below Average
4.322322327,1.86636565,3.583458974,3.618685928,3.794772798,4.387459845,3.420995435,4.24644069,3.683998424,3.625961444,Below Average
4.144252522,3.958563833,3.759909044,3.117589093,3.816708949,3.887309982,4.024782066,3.9244986,3.008715545,3.748385478,Below Average
2.72352987,4.321000306,3.313700444,3.965075888,3.86853636,4.534902501,3.477893617,3.590292593,3.53387345,3.690296517,Below Average
3.609734229,4.279500324,4.084262451,3.667277228,3.258907032,3.84577986,5,4.987165512,3.571515254,4.056821046,Average
3.289168493,3.162759219,4.481067685,3.151460026,4.144490753,3.605900614,3.691099728,4.248988885,3.567994775,3.69784225,Below Average
4.72432239,3.499649117,3.207944215,3.890175116,2.821439485,3.365608851,4.285627823,3.408157859,2.551748151,3.514189257,Unsatisfactory
2.976411132,3.544213678,3.602758531,2.658280646,3.507590104,4.073466389,3.89993981,3.462658321,3.76299329,3.504959813,Unsatisfactory
